timestamp,simple-path,time
2021-06-02 13:14:45.465,/master/welcome,745
2021-06-02 13:14:45.868,/master/welcome,371
2021-06-02 13:14:47.342,/master/sign-in,1275
2021-06-02 13:14:48.627,/master/welcome,598
2021-06-02 13:15:00.407,/master/welcome,614
2021-06-02 13:15:01.136,/master/welcome,594
2021-06-02 13:15:01.643,/master/welcome,339
2021-06-02 13:15:02.35,/master/welcome,646
2021-06-02 13:15:03.094,/master/sign-in,593
2021-06-02 13:15:04.364,/master/welcome,587
2021-06-02 13:15:05.189,/manager/task/create,584
2021-06-02 13:15:07.663,/master/welcome,597
2021-06-02 13:15:08.517,/manager/task/list,602
2021-06-02 13:15:10.051,/manager/task/show,600
2021-06-02 13:15:10.755,/master/welcome,320
2021-06-02 13:15:11.501,/master/welcome,586
2021-06-02 13:15:11.97,/master/welcome,351
2021-06-02 13:15:12.311,/master/welcome,312
2021-06-02 13:15:13.0,/master/sign-in,582
2021-06-02 13:15:14.284,/master/welcome,586
2021-06-02 13:15:15.127,/manager/task/create,597
2021-06-02 13:15:17.677,/master/welcome,598
2021-06-02 13:15:18.444,/manager/task/list,590
2021-06-02 13:15:19.952,/manager/task/show,581
2021-06-02 13:15:20.795,/master/welcome,385
2021-06-02 13:15:21.517,/master/welcome,598
2021-06-02 13:15:21.933,/master/welcome,326
2021-06-02 13:15:22.302,/master/welcome,340
2021-06-02 13:15:22.999,/master/sign-in,592
2021-06-02 13:15:24.308,/master/welcome,588
2021-06-02 13:15:25.15,/manager/task/create,597
2021-06-02 13:15:27.562,/master/welcome,591
2021-06-02 13:15:28.336,/manager/task/list,589
2021-06-02 13:15:29.896,/manager/task/show,582
2021-06-02 13:15:30.571,/master/welcome,298
2021-06-02 13:15:31.269,/master/welcome,590
2021-06-02 13:15:31.652,/master/welcome,309
2021-06-02 13:15:32.003,/master/welcome,323
2021-06-02 13:15:32.738,/master/sign-in,584
2021-06-02 13:15:34.084,/master/welcome,596
2021-06-02 13:15:34.884,/manager/task/create,582
2021-06-02 13:15:37.297,/master/welcome,585
2021-06-02 13:15:38.123,/manager/task/list,626
2021-06-02 13:15:39.637,/manager/task/show,589
